RowID,Name,StartDate,EndDate,DurationDays,WindSpeed_mph,WindSpeed_kmh,Pressure_hPa,Pressure_inHg,Areas_affected,Deaths,Damage_USD,Category
0,One,6/16/1921,6/26/1921,10,90,150,980,28.94,"Central America, Gulf of Mexico",0,NULL,1
1,Two,9/4/1921,9/8/1921,4,80,130,985,29.09,Mexico,215,19000000,1
2,Four,9/8/1921,9/14/1921,6,90,150,979,28.91,NULL,0,NULL,1
3,Three,9/18/1922,9/24/1922,6,80,130,987,29.15,NULL,0,NULL,1
4,Four,9/10/1923,9/13/1923,3,80,130,986,29.12,Newfoundland,0,NULL,1
5,Six,10/12/1923,10/17/1923,5,80,130,983,29.03,"Mexico, Gulf Coast of the United States",0,NULL,1
6,Five,9/13/1924,9/17/1924,4,85,140,980,28.94,United States East Coast,NULL,NULL,1
7,Eleven,11/5/1924,11/14/1924,9,80,130,994,29.35,"Cuba, The Bahamas",NULL,NULL,1
8,One,8/18/1925,8/24/1925,6,80,130,994,29.35,NULL,0,NULL,1
9,Two,9/2/1927,9/11/1927,9,90,150,1007,29.74,Cape Verde,0,NULL,1
10,Three,9/22/1927,9/29/1927,7,80,130,1005,29.68,NULL,19,4360000,1
11,1928 Haiti hurricane,8/7/1928,8/17/1928,10,90,150,998,29.47,"Windward Islands, Leeward Islands, Gulf Coast of the United States",210,2000000,1
12,Six,9/10/1928,9/15/1928,5,90,150,980,28.94,NULL,0,NULL,1
13,One,6/27/1929,6/30/1929,3,90,150,982,29,Gulf of Mexico,NULL,365000,1
14,Five,10/19/1929,10/22/1929,3,80,130,997,29.44,NULL,0,NULL,1
15,Eight,9/23/1931,9/28/1931,5,75,120,987,29.15,NULL,0,NULL,1
16,1932 Florida–Alabama hurricane,8/26/1932,9/2/1932,7,85,140,979,28.91,United States Gulf Coast,NULL,226000,1
17,1933 Florida–Mexico hurricane,7/23/1933,8/5/1933,13,90,150,975,28.79,"Leeward Islands, United States Gulf Coast, Mexico",NULL,500000,1
18,Fifteen,9/24/1933,9/27/1933,3,75,120,991,29.26,Azores,0,NULL,1
19,Eighteen,10/25/1933,11/7/1933,13,90,150,982,29,"Cuba, The Bahamas",23,3000000,1
20,Two,7/12/1934,7/16/1934,4,90,150,980,28.94,"Bermuda, Newfoundland and Labrador",0,NULL,1
21,Three,7/22/1934,7/26/1934,4,85,140,975,28.79,United States Gulf Coast,NULL,NULL,1
22,Five,8/26/1934,9/1/1934,6,80,130,989,29.21,United States Gulf Coast,NULL,NULL,1
23,1935 Jérémie hurricane,10/18/1935,10/27/1935,9,85,140,988,29.18,"Central America, Jamaica, Cuba, Haiti",2150,NULL,1
24,Three,6/26/1936,6/28/1936,2,80,130,987,29.15,Texas,NULL,550000,1
25,Eight,8/15/1936,8/20/1936,5,75,120,999,29.5,"Yucatán Peninsula, Tamaulipas",0,NULL,1
26,Eleven,8/28/1936,8/30/1936,2,80,130,1000,29.53,"Yucatán Peninsula, Veracruz",0,NULL,1
27,Eleven,10/19/1937,10/21/1937,2,80,130,995,29.38,NULL,0,NULL,1
28,Two,8/7/1939,8/19/1939,12,75,120,985,29.09,"Puerto Rico, Turks and Caicos Islands, The Bahamas, Eastern United States",0,2000,1
29,Six,10/28/1939,11/6/1939,9,90,150,989,29.21,"Honduras, The Caribbean, Bermuda",2,NULL,1
30,Eight,10/20/1940,10/24/1940,4,80,130,993,29.32,Nicaragua,NULL,NULL,1
31,Three,9/18/1941,9/25/1941,7,80,130,978,28.88,NULL,0,NULL,1
32,Two,8/17/1942,8/23/1942,6,80,130,992,29.29,Texas,0,790000,1
33,One,7/13/1944,7/18/1944,5,80,130,995,29.38,Bermuda,0,NULL,1
34,Three,7/30/1944,8/4/1944,5,80,130,985,29.09,"North Carolina, Mid-Atlantic states",0,2000000,1
35,Eight,9/19/1944,9/22/1944,3,80,130,996,29.41,Mexico,NULL,NULL,1
36,Twelve,10/11/1944,10/15/1944,4,80,130,998,29.47,NULL,0,NULL,1
37,Ten,10/2/1945,10/7/1945,5,90,150,982,29,"Belize, Guatemala, Honduras, Mexico",1,NULL,1
38,Two,7/5/1946,7/9/1946,4,80,130,1005,29.68,North Carolina,0,NULL,1
39,Three,8/18/1947,8/27/1947,9,80,130,984,29.06,"Cuba, Louisiana, Texas",1,800000,1
40,Five,9/1/1948,9/7/1948,6,80,130,983,29.03,"Louisiana, Mississippi, Midwestern United States",0,900000,1
41,Ten,11/8/1948,11/11/1948,3,75,120,990,29.23,NULL,0,NULL,1
42,Ten,9/20/1949,9/22/1949,2,80,130,1003,29.62,"Saint Croix, Puerto Rico, Dominican Republic",15,1012000,1
43,Thirteen,10/13/1949,10/19/1949,6,90,150,981,28.97,"Cuba, The Bahamas",0,NULL,1
44,Love,10/18/1950,10/22/1950,4,80,130,987,29.15,"Georgia, Louisiana, Southwestern Florida",0,NULL,1
45,Able,5/15/1951,5/23/1951,8,90,150,973,28.73,"Florida, Bahamas, North Carolina, South Carolina, Virginia",0,NULL,1
46,Dog,8/27/1951,9/5/1951,9,90,150,992,29.29,"Martinique, Saint Lucia, Hispaniola, Jamaica",7,3000000,1
47,Jig,10/15/1951,10/17/1951,2,75,120,990,29.23,"North Carolina, Virginia",0,NULL,1
48,Twelve,9/2/1951,9/11/1951,9,80,130,995,29.38,NULL,0,NULL,1
49,Barbara,8/11/1953,8/15/1953,4,90,150,973,28.73,"United States East Coast, Atlantic Canada",9,1300000,1
50,Dolly,9/8/1953,9/12/1953,4,75,120,989,29.21,"Virgin Islands, Puerto Rico, The Bahamas, Bermuda",0,NULL,1
51,Gail,10/2/1953,10/12/1953,10,80,130,986,29.12,NULL,0,NULL,1
52,Hazel,10/7/1953,10/10/1953,3,85,140,980,28.94,"Florida, Sable Island",0,250000,1
53,Dolly,8/31/1954,9/2/1954,2,85,140,994,29.35,NULL,0,NULL,1
54,Alice,12/30/1954,1/6/1955,7,90,150,980,28.94,"Saba, Anguilla, Lesser Antilles",0,623000,1
55,Gladys,9/3/1955,9/6/1955,3,90,150,996,29.41,"Western Mexico, Yucatán Peninsula",0,500000,1
56,Anna,7/25/1956,7/27/1956,2,85,140,991,29.26,Mexico,0,50000,1
57,Flossy,9/20/1956,9/25/1956,5,90,150,974,28.76,"Yucatán Peninsula, Louisiana, Mississippi, Alabama, Florida, Georgia, South Carolina, North Carolina, Virginia",15,24900000,1
58,Frieda,9/20/1957,9/26/1957,6,85,140,975,28.79,"Bermuda, Newfoundland",0,NULL,1
59,Fifi,9/4/1958,9/11/1958,7,85,140,1000,29.53,NULL,0,NULL,1
60,Escuminac (Three),6/18/1959,6/19/1959,1,85,140,974,28.76,"Florida, Atlantic Canada",35,2500000,1
61,Cindy,7/4/1959,7/11/1959,7,75,120,996,29.41,"The Carolinas, Mid-Atlantic states, New England, Canadian Maritime Provinces",6,75000,1
62,Debra,7/22/1959,7/27/1959,5,85,140,984,29.06,"Texas, Oklahoma, United States Gulf Coast, Midwestern United States",0,7000000,1
63,Flora,9/9/1959,9/12/1959,3,75,120,994,29.35,NULL,0,NULL,1
64,Judith,10/14/1959,10/22/1959,8,85,140,988,29.18,Florida,0,NULL,1
65,Abby,7/9/1960,7/17/1960,8,80,130,995,29.38,"Lesser Antilles, Puerto Rico, Leeward Antilles, Hispaniola, Jamaica, Nicaragua, Honduras, Belize, Guatemala, Mexico",6,640000,1
66,Cleo,8/17/1960,8/21/1960,4,85,140,995,29.38,"Greater Antilles, The Bahamas, Northeastern United States, Nova Scotia",0,NULL,1
67,Debbie,9/6/1961,9/16/1961,10,90,150,975,28.79,"Cape Verde, Azores, Ireland, United Kingdom, Norway, Soviet Union",78,50000000,1
68,Jenny,11/1/1961,11/10/1961,9,80,130,974,28.76,"Puerto Rico, Leeward Islands",0,NULL,1
69,Alma,8/26/1962,8/30/1962,4,85,140,984,29.06,"Puerto Rico, United States East Coast",1,1000000,1
70,Ten,11/28/1962,12/4/1962,6,90,150,988,29.18,United States East Coast,0,NULL,1
71,Four,9/9/1963,9/14/1963,5,80,130,990,29.23,Bermuda,0,NULL,1
72,Debra,9/19/1963,9/24/1963,5,75,120,999,29.5,NULL,0,NULL,1
73,Three,7/28/1964,8/2/1964,5,85,140,990,29.23,British Isles,0,NULL,1
74,Carol,9/16/1965,9/30/1965,14,90,150,974,28.76,Azores,0,NULL,1
75,Becky,7/1/1966,7/3/1966,2,75,120,985,29.09,NULL,0,NULL,1
76,Celia,7/13/1966,7/21/1966,8,80,130,995,29.38,"Atlantic Canada, Quebec",0,NULL,1
77,Dorothy,7/22/1966,7/30/1966,8,85,140,989,29.21,NULL,0,NULL,1
78,Lois,11/4/1966,11/11/1966,7,80,130,986,29.12,Azores,0,NULL,1
79,Arlene,8/28/1967,9/4/1967,7,85,140,982,29,Newfoundland,0,NULL,1
80,Doria,9/8/1967,9/21/1967,13,85,140,973,28.73,United States East Coast,3,150000,1
81,Fern,10/1/1967,10/4/1967,3,85,140,987,29.15,"Mexico, Texas",3,NULL,1
82,Heidi,10/19/1967,10/31/1967,12,90,150,981,28.97,Bermuda,0,NULL,1
83,Abby,6/1/1968,6/13/1968,12,75,120,992,29.29,"Cuba, Florida, Georgia, The Carolinas",6,450000,1
84,Brenda,6/17/1968,6/26/1968,9,75,120,990,29.23,Florida,0,NULL,1
85,Dolly,8/10/1968,8/17/1968,7,80,130,985,29.09,"The Carolinas, Florida, Azores",0,NULL,1
86,Gladys,10/13/1968,10/21/1968,8,85,140,965,28.5,"Cuba, Florida, United States East Coast, Nova Scotia",11,18700000,1
87,Blanche,8/11/1969,8/12/1969,1,85,140,997,29.44,Sable Island,0,NULL,1
88,Holly,9/14/1969,9/21/1969,7,85,140,984,29.06,Leeward Islands,0,NULL,1
89,Ten,9/21/1969,9/26/1969,5,75,120,985,29.09,NULL,0,NULL,1
90,Seventeen,10/31/1969,11/7/1969,7,75,120,988,29.18,NULL,0,NULL,1
91,Martha,11/21/1969,11/25/1969,4,90,150,975,28.79,"Panama, Costa Rica",5,30000000,1
92,Alma,5/17/1970,5/26/1970,9,75,120,993,29.32,"Cayman Islands, Jamaica, Cuba, Southeastern United States",8,NULL,1
93,Nineteen,10/20/1970,10/28/1970,8,80,130,988,29.18,NULL,0,NULL,1
94,Two,8/3/1971,8/7/1971,4,85,140,974,28.76,NULL,0,NULL,1
95,Beth,8/10/1971,8/16/1971,6,85,140,977,28.85,"The Bahamas, Florida, Nova Scotia, Newfoundland",1,5100000,1
96,Fern,9/3/1971,9/13/1971,10,90,150,979,28.91,"Louisiana, Texas, northern Mexico",2,30200000,1
97,Irene,9/11/1971,9/20/1971,9,80,130,989,29.21,"Lesser Antilles, Leeward Antilles, Central America",3,1000000,1
98,Agnes,6/14/1972,6/23/1972,9,90,150,977,28.85,"Yucatán Peninsula, western Cuba, Florida Panhandle, Georgia, North Carolina, Virginia, Maryland, Pennsylvania, New York, Atlantic Canada",128,2100000000,1
99,Dawn,9/5/1972,9/14/1972,9,80,130,997,29.44,Southeastern United States,0,NULL,1
100,Alice,7/1/1973,7/7/1973,6,90,150,986,29.12,"Bermuda, Newfoundland",0,NULL,1
101,Brenda,8/18/1973,8/22/1973,4,90,150,977,28.85,"Cayman Islands, Mexico",10,NULL,1
102,Fran,10/8/1973,10/12/1973,4,80,130,978,28.88,Azores,0,NULL,1
103,Gertrude,9/25/1974,10/4/1974,9,75,120,999,29.5,Windward Islands,0,NULL,1
104,Blanche,7/23/1975,7/28/1975,5,85,140,980,28.94,"Maine, Nova Scotia",0,6200000,1
105,Candice,8/18/1976,8/24/1976,6,90,150,964,28.47,NULL,0,NULL,1
106,Holly,10/22/1976,10/28/1976,6,75,120,990,29.23,NULL,0,NULL,1
107,Babe,9/3/1977,9/9/1977,6,75,120,995,29.38,"Florida, Louisiana, Alabama, Mississippi, Tennessee, Georgia, South Carolina, North Carolina and Virginia",0,13000000,1
108,Clara,9/5/1977,9/11/1977,6,75,120,993,29.32,"The Carolinas, Nova Scotia",0,NULL,1
109,Dorothy,9/26/1977,9/29/1977,3,85,140,980,28.94,"Bermuda, Newfoundland",0,NULL,1
